comment_id,sentence_pos,stereotype,xenophobia,suffering,economic,migration,culture,benefits,health,security,dehumanisation,others
0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,0,0,0,1,0,0,0,0
0,5,1,0,0,0,1,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,1,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,0,0,0,1,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0
5,3,1,0,0,0,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,1,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,1,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,1,0,0,0,0,0,1,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0,0,0
18,3,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0
21,2,1,0,0,0,1,1,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0,0
30,1,1,0,1,0,0,0,1,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0,0,0,0,0
32,3,1,0,1,0,0,0,0,0,0,0,0
32,4,1,0,0,0,0,0,1,0,0,0,0
32,5,1,0,0,0,1,0,0,0,0,0,0
32,6,0,0,0,0,0,0,0,0,0,0,0
33,1,1,0,1,1,0,0,0,0,0,0,0
34,1,1,0,0,0,0,1,0,0,0,0,0
34,2,0,0,0,0,0,0,0,0,0,0,0
34,3,0,0,0,0,0,0,0,0,0,0,0
34,4,0,0,0,0,0,0,0,0,0,0,0
34,5,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0
35,2,0,0,0,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,1,1,0,0,0,0
37,1,0,0,0,0,0,0,0,0,0,0,0
37,2,0,0,0,0,0,0,0,0,0,0,0
37,3,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0
38,2,0,0,0,0,0,0,0,0,0,0,0
38,3,0,0,0,0,0,0,0,0,0,0,0
38,4,0,0,0,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0
39,2,1,0,0,1,0,0,0,0,1,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0
40,2,1,0,0,0,1,1,1,0,1,0,0
40,3,0,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0,0,0,0
44,3,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0
45,2,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0,0
46,3,0,0,0,0,0,0,0,0,0,0,0
46,4,0,0,0,0,0,0,0,0,0,0,0
