comment_id,sentence_pos,stereotype
0,1,0
0,2,0
0,3,0
0,4,1
0,5,0
0,6,1
1,1,1
1,2,0
2,1,1
3,1,0
4,1,1
4,2,0
4,3,0
4,4,0
4,5,0
4,6,1
4,7,1
5,1,1
5,2,0
5,3,0
6,1,0
6,2,0
7,1,0
8,1,1
8,2,0
9,1,0
10,1,0
10,2,0
11,1,0
11,2,0
12,1,0
12,2,1
13,1,0
13,2,0
14,1,0
15,1,0
15,2,0
15,3,0
16,1,1
17,1,1
18,1,1
18,2,0
18,3,0
19,1,0
20,1,0
20,2,0
21,1,0
21,2,0
22,1,0
22,2,0
23,1,0
24,1,0
25,1,0
26,1,1
27,1,0
27,2,0
28,1,0
29,1,0
30,1,0
30,2,0
31,1,0
32,1,1
32,2,0
32,3,1
32,4,1
32,5,0
32,6,0
33,1,0
34,1,0
34,2,1
34,3,0
34,4,0
34,5,0
35,1,0
35,2,0
36,1,0
37,1,0
37,2,1
37,3,0
38,1,0
38,2,0
38,3,0
38,4,0
39,1,0
39,2,1
40,1,0
40,2,0
40,3,0
41,1,0
41,2,0
42,1,1
43,1,1
44,1,1
44,2,0
44,3,0
45,1,0
45,2,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
47,1,1
47,2,0
47,3,0
47,4,0
47,5,0
47,6,0
48,1,0
49,1,0
50,1,1
50,2,0
50,3,0
50,4,1
51,1,1
52,1,0
53,1,1
53,2,0
53,3,0
53,4,0
54,1,1
54,2,0
54,3,0
55,1,0
55,2,0
55,3,1
55,4,1
56,1,0
57,1,0
58,1,0
59,1,1
60,1,1
61,1,1
62,1,1
63,1,0
63,2,0
63,3,0
64,1,0
65,1,0
66,1,1
67,1,1
67,2,0
67,3,1
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,1
77,1,0
77,2,0
77,3,0
77,4,0
77,5,0
77,6,0
77,7,0
78,1,1
78,2,0
79,1,0
79,2,0
80,1,0
81,1,1
81,2,0
82,1,0
83,1,0
83,2,0
83,3,0
83,4,0
84,1,1
85,1,1
86,1,0
87,1,0
88,1,0
89,1,0
89,2,0
90,1,1
90,2,0
91,1,0
92,1,0
92,2,0
93,1,0
94,1,0
95,1,0
95,2,0
95,3,0
95,4,0
95,5,0
95,6,1
96,1,0
97,1,1
97,2,1
98,1,0
99,1,0
100,1,0
101,1,0
101,2,0
101,3,0
102,1,0
102,2,0
103,1,1
104,1,0
104,2,0
105,1,0
105,2,0
106,1,0
107,1,1
108,1,0
109,1,0
109,2,0
109,3,0
109,4,0
109,5,0
109,6,0
109,7,0
110,1,0
110,2,0
110,3,0
111,1,0
112,1,0
112,2,0
113,1,0
114,1,1
115,1,0
115,2,0
115,3,0
116,1,0
117,1,0
118,1,0
118,2,0
118,3,0
119,1,0
120,1,0
121,1,0
121,2,0
121,3,0
121,4,0
121,5,0
122,1,0
123,1,0
124,1,0
124,2,0
125,1,0
126,1,0
127,1,0
128,1,0
128,2,0
128,3,0
129,1,0
129,2,0
129,3,0
130,1,0
130,2,0
131,1,0
132,1,0
132,2,0
133,1,0
134,1,0
135,1,1
135,2,1
136,1,0
137,1,1
138,1,1
139,1,1
140,1,0
141,1,0
142,1,0
143,1,1
143,2,0
144,1,1
144,2,1
145,1,0
145,2,0
145,3,0
145,4,0
146,1,1
147,1,0
147,2,0
147,3,0
147,4,0
148,1,1
148,2,0
149,1,0
149,2,0
149,3,0
150,1,0
150,2,0
151,1,0
152,1,1
153,1,0
154,1,0
154,2,0
