comment_id,sentence_pos,stereotype
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
1,1,0
1,2,0
1,3,0
1,4,1
2,1,0
2,2,0
2,3,0
3,1,0
3,2,0
4,1,0
4,2,0
4,3,0
5,1,0
5,2,0
6,1,0
7,1,1
8,1,0
9,1,0
9,2,0
10,1,0
10,2,0
11,1,0
11,2,0
11,3,0
11,4,1
11,5,0
11,6,1
12,1,0
12,2,0
12,3,0
12,4,1
13,1,0
13,2,0
14,1,0
15,1,0
15,2,0
16,1,0
16,2,0
17,1,1
18,1,0
18,2,0
18,3,0
19,1,0
19,2,0
20,1,0
20,2,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
22,1,0
22,2,0
23,1,0
23,2,1
24,1,0
24,2,0
24,3,0
24,4,0
25,1,0
26,1,0
27,1,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,1
28,6,0
29,1,0
29,2,0
30,1,1
30,2,0
30,3,0
30,4,0
31,1,0
32,1,0
32,2,1
32,3,0
33,1,0
33,2,0
34,1,1
34,2,0
34,3,0
35,1,0
35,2,1
36,1,0
36,2,0
37,1,0
37,2,1
37,3,0
37,4,1
37,5,0
37,6,0
37,7,0
37,8,1
38,1,1
39,1,1
39,2,0
39,3,0
40,1,0
40,2,0
41,1,1
41,2,1
41,3,0
42,1,0
42,2,0
43,1,0
43,2,0
43,3,0
44,1,1
44,2,0
44,3,1
45,1,1
45,2,1
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
46,1,0
46,2,0
46,3,0
47,1,0
47,2,1
47,3,1
47,4,0
47,5,0
47,6,0
47,7,0
48,1,0
48,2,0
49,1,0
49,2,0
50,1,0
50,2,0
51,1,1
51,2,0
52,1,0
52,2,0
53,1,1
53,2,0
53,3,1
53,4,1
54,1,0
54,2,0
54,3,0
54,4,1
54,5,0
55,1,0
55,2,0
56,1,1
56,2,1
57,1,0
57,2,0
57,3,0
58,1,1
59,1,0
59,2,0
59,3,1
59,4,0
60,1,0
60,2,0
61,1,1
61,2,1
61,3,1
61,4,1
61,5,0
61,6,0
62,1,0
62,2,0
62,3,0
62,4,0
63,1,0
64,1,0
64,2,0
64,3,0
64,4,0
65,1,0
65,2,1
65,3,0
65,4,1
65,5,1
65,6,0
65,7,0
66,1,0
66,2,1
66,3,0
66,4,0
67,1,0
67,2,0
67,3,0
67,4,0
68,1,1
69,1,0
69,2,0
69,3,0
70,1,0
70,2,0
71,1,1
71,2,1
72,1,1
72,2,1
72,3,0
72,4,0
72,5,0
72,6,0
72,7,0
72,8,0
72,9,0
72,10,0
73,1,0
73,2,0
73,3,1
73,4,0
73,5,1
74,1,1
74,2,1
74,3,1
74,4,0
74,5,1
75,1,0
75,2,0
75,3,0
76,1,0
76,2,1
76,3,0
76,4,1
76,5,0
76,6,0
76,7,0
77,1,0
78,1,0
78,2,1
78,3,0
78,4,1
78,5,0
78,6,0
79,1,0
79,2,1
79,3,0
79,4,0
79,5,0
80,1,0
80,2,0
80,3,0
80,4,0
80,5,0
81,1,0
82,1,0
82,2,0
82,3,1
82,4,0
83,1,1
83,2,0
83,3,0
83,4,0
83,5,0
84,1,1
84,2,0
84,3,0
84,4,0
85,1,1
85,2,0
86,1,0
86,2,0
86,3,0
86,4,0
86,5,1
86,6,1
87,1,0
87,2,0
87,3,0
87,4,0
88,1,1
88,2,1
88,3,0
89,1,0
89,2,1
90,1,1
90,2,1
90,3,0
91,1,1
91,2,1
92,1,1
93,1,0
93,2,0
94,1,0
